entrez,symbol,term_id,term_name,source
25,ABL1,C0023473,"Myeloid Leukemia, Chronic",CGI
25,ABL1,C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,CGI
25,ABL1,C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,CGI
90,ACVR1,C0017638,Glioma,CGI
207,AKT1,C0006142,Malignant neoplasm of breast,CGI
207,AKT1,C0007112,Adenocarcinoma of prostate,CGI
207,AKT1,C0007131,Non-Small Cell Lung Carcinoma,CGI
207,AKT1,C0025202,melanoma,CGI
207,AKT1,C0025286,Meningioma,CGI
207,AKT1,C0029463,Osteosarcoma,CGI
207,AKT1,C0029925,Ovarian Carcinoma,CGI
207,AKT1,C0149925,Small cell carcinoma of lung,CGI
207,AKT1,C0151779,Cutaneous Melanoma,CGI
207,AKT1,C0152013,Adenocarcinoma of lung (disorder),CGI
207,AKT1,C0206644,"Histiocytoma, Benign Fibrous",CGI
207,AKT1,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
207,AKT1,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
207,AKT1,C0678222,Breast Carcinoma,CGI
207,AKT1,C0858252,Breast adenocarcinoma,CGI
207,AKT1,C0919267,ovarian neoplasm,CGI
207,AKT1,C1140680,Malignant neoplasm of ovary,CGI
207,AKT1,C1153706,Endometrial adenocarcinoma,CGI
207,AKT1,C1319315,Adenocarcinoma of large intestine,CGI
208,AKT2,C0006142,Malignant neoplasm of breast,CGI
208,AKT2,C0007131,Non-Small Cell Lung Carcinoma,CGI
208,AKT2,C0029925,Ovarian Carcinoma,CGI
208,AKT2,C0030297,Pancreatic Neoplasm,CGI
208,AKT2,C0235974,Pancreatic carcinoma,CGI
208,AKT2,C0346647,Malignant neoplasm of pancreas,CGI
208,AKT2,C0347284,Benign tumor of pancreas,CGI
208,AKT2,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
208,AKT2,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
208,AKT2,C0678222,Breast Carcinoma,CGI
208,AKT2,C0858252,Breast adenocarcinoma,CGI
208,AKT2,C0919267,ovarian neoplasm,CGI
208,AKT2,C1140680,Malignant neoplasm of ovary,CGI
208,AKT2,C1319315,Adenocarcinoma of large intestine,CGI
238,ALK,C0007131,Non-Small Cell Lung Carcinoma,CGI
238,ALK,C0017638,Glioma,CGI
238,ALK,C0025202,melanoma,CGI
238,ALK,C0027819,Neuroblastoma,CGI
238,ALK,C0035412,Rhabdomyosarcoma,CGI
238,ALK,C0151779,Cutaneous Melanoma,CGI
238,ALK,C0152013,Adenocarcinoma of lung (disorder),CGI
238,ALK,C0153633,Malignant neoplasm of brain,CGI
238,ALK,C0206180,Ki-1+ Anaplastic Large Cell Lymphoma,CGI
238,ALK,C0334121,Inflammatory Myofibroblastic Tumor,CGI
324,APC,C0017638,Glioma,CGI
