entrez,symbol,term_id,term_name,source
1,A1BG,C0036341,Schizophrenia,CTD
2,A2M,C0002395,Alzheimer's Disease,CTD
2,A2M,C0007102,Malignant tumor of colon,CTD
2,A2M,C0011265,Presenile dementia,CTD
2,A2M,C0019202,Hepatolenticular Degeneration,CTD
2,A2M,C0022660,"Kidney Failure, Acute",CTD
2,A2M,C0023890,Liver Cirrhosis,CTD
2,A2M,C0023893,"Liver Cirrhosis, Experimental",CTD
2,A2M,C0206669,Hepatocellular Adenoma,CTD
2,A2M,C0239946,"Fibrosis, Liver",CTD
2,A2M,C0242379,Malignant neoplasm of lung,CTD
2,A2M,C0276496,Familial Alzheimer Disease (FAD),CTD
2,A2M,C0494463,"Alzheimer Disease, Late Onset",CTD
2,A2M,C0546126,Acute Confusional Senile Dementia,CTD
2,A2M,C0750900,"Alzheimer's Disease, Focal Onset",CTD
2,A2M,C0750901,"Alzheimer Disease, Early Onset",CTD
2,A2M,C1527352,Hepatic Form of Wilson Disease,CTD
2,A2M,C1565662,Acute Kidney Insufficiency,CTD
2,A2M,C2239176,Liver carcinoma,CTD
2,A2M,C2609414,Acute kidney injury,CTD
2,A2M,C3279661,alpha-2-Macroglobulin Deficiency,CTD
9,NAT1,C0005684,Malignant neoplasm of urinary bladder,CTD
9,NAT1,C0005695,Bladder Neoplasm,CTD
9,NAT1,C0028796,"Dermatitis, Occupational",CTD
9,NAT1,C0086457,Industrial Dermatosis,CTD
9,NAT1,C0376358,Malignant neoplasm of prostate,CTD
10,NAT2,C0005684,Malignant neoplasm of urinary bladder,CTD
10,NAT2,C0005695,Bladder Neoplasm,CTD
10,NAT2,C0006142,Malignant neoplasm of breast,CTD
10,NAT2,C0010054,Coronary Arteriosclerosis,CTD
10,NAT2,C0011999,Diastematomyelia,CTD
10,NAT2,C0019193,"Hepatitis, Toxic",CTD
10,NAT2,C0023452,Childhood Acute Lymphoblastic Leukemia,CTD
10,NAT2,C0023453,L2 Acute Lymphoblastic Leukemia,CTD
10,NAT2,C0023530,Leukopenia,CTD
10,NAT2,C0027806,Neurenteric Cyst,CTD
10,NAT2,C0028796,"Dermatitis, Occupational",CTD
10,NAT2,C0080218,Tethered Cord Syndrome,CTD
10,NAT2,C0086457,Industrial Dermatosis,CTD
10,NAT2,C0152234,Iniencephaly,CTD
10,NAT2,C0152426,Craniorachischisis,CTD
10,NAT2,C0266453,Exencephaly,CTD
10,NAT2,C0344479,Spinal Cord Myelodysplasia,CTD
10,NAT2,C0345904,Malignant neoplasm of liver,CTD
10,NAT2,C0345967,Malignant mesothelioma,CTD
10,NAT2,C0376358,Malignant neoplasm of prostate,CTD
10,NAT2,C0678222,Breast Carcinoma,CTD
10,NAT2,C0702169,Acrania,CTD
10,NAT2,C1257931,"Mammary Neoplasms, Human",CTD
