entrez,symbol,term_id,term_name,source
16,AARS1,C2750090,"Charcot-Marie-Tooth Disease, Axonal, Type 2n",GENOMICS_ENGLAND
16,AARS1,C4225361,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29",GENOMICS_ENGLAND
18,ABAT,C0342708,Gamma aminobutyric acid transaminase deficiency,GENOMICS_ENGLAND
18,ABAT,C0557874,Global developmental delay,GENOMICS_ENGLAND
19,ABCA1,C0020443,Hypercholesterolemia,GENOMICS_ENGLAND
19,ABCA1,C0039292,Tangier Disease,GENOMICS_ENGLAND
19,ABCA1,C0745103,Hyperlipoproteinemia Type IIa,GENOMICS_ENGLAND
19,ABCA1,C1704429,"Hypoalphalipoproteinemia, Familial",GENOMICS_ENGLAND
21,ABCA3,C1861829,Cataract microcornea syndrome,GENOMICS_ENGLAND
21,ABCA3,C1970456,"Surfactant Metabolism Dysfunction, Pulmonary, 3",GENOMICS_ENGLAND
22,ABCB7,C1845028,"ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA",GENOMICS_ENGLAND
24,ABCA4,C0035334,Retinitis Pigmentosa,GENOMICS_ENGLAND
24,ABCA4,C0242383,Age related macular degeneration,GENOMICS_ENGLAND
24,ABCA4,C1855465,STARGARDT DISEASE 1 (disorder),GENOMICS_ENGLAND
24,ABCA4,C1858080,"Retinal Dystrophy, Early Onset Severe",GENOMICS_ENGLAND
24,ABCA4,C1858806,CONE-ROD DYSTROPHY 3 (disorder),GENOMICS_ENGLAND
24,ABCA4,C1866422,RETINITIS PIGMENTOSA 19,GENOMICS_ENGLAND
24,ABCA4,C3495438,"Macular Degeneration, Age-Related, 2",GENOMICS_ENGLAND
25,ABL1,C0003706,Arachnodactyly,GENOMICS_ENGLAND
25,ABL1,C0039075,Syndactyly,GENOMICS_ENGLAND
25,ABL1,C0265610,Clinodactyly of fingers,GENOMICS_ENGLAND
25,ABL1,C4539857,CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME,GENOMICS_ENGLAND
25,ABL1,C4551485,Clinodactyly,GENOMICS_ENGLAND
34,ACADM,C0038644,Sudden infant death syndrome,GENOMICS_ENGLAND
34,ACADM,C0220710,Medium-chain acyl-coenzyme A dehydrogenase deficiency,GENOMICS_ENGLAND
35,ACADS,C0342783,Deficiency of butyryl-CoA dehydrogenase,GENOMICS_ENGLAND
36,ACADSB,C1864912,2-Methylbutyryl-CoA Dehydrogenase Deficiency,GENOMICS_ENGLAND
37,ACADVL,C3887523,Very long chain acyl-CoA dehydrogenase deficiency,GENOMICS_ENGLAND
38,ACAT1,C1536500,Deficiency of acetyl-CoA acetyltransferase,GENOMICS_ENGLAND
50,ACO2,C3281192,INFANTILE CEREBELLAR-RETINAL DEGENERATION,GENOMICS_ENGLAND
50,ACO2,C4225384,OPTIC ATROPHY 9,GENOMICS_ENGLAND
51,ACOX1,C1849678,Peroxisomal ACYL-COA oxidase deficiency,GENOMICS_ENGLAND
54,ACP5,C1842763,SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION,GENOMICS_ENGLAND
54,ACP5,C3860213,Autoinflammatory disorder,GENOMICS_ENGLAND
58,ACTA1,C0007194,Hypertrophic Cardiomyopathy,GENOMICS_ENGLAND
58,ACTA1,C0206157,"Myopathies, Nemaline",GENOMICS_ENGLAND
58,ACTA1,C0546264,Congenital Fiber Type Disproportion,GENOMICS_ENGLAND
58,ACTA1,C1834339,"Myopathy, Actin, Congenital, with Excess of Thin Myofilaments",GENOMICS_ENGLAND
58,ACTA1,C2750537,"Myopathy, Actin, Congenital, With Cores",GENOMICS_ENGLAND
58,ACTA1,C3711389,Actin-Accumulation Myopathy,GENOMICS_ENGLAND
58,ACTA1,C4225181,"MYOPATHY, SCAPULOHUMEROPERONEAL",GENOMICS_ENGLAND
59,ACTA2,C0026654,Moyamoya Disease,GENOMICS_ENGLAND
59,ACTA2,C2673186,"Aortic Aneurysm, Familial Thoracic 6",GENOMICS_ENGLAND
59,ACTA2,C3151201,MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME,GENOMICS_ENGLAND
59,ACTA2,C3279690,MOYAMOYA DISEASE 5,GENOMICS_ENGLAND
59,ACTA2,C4707243,Familial thoracic aortic aneurysm and aortic dissection,GENOMICS_ENGLAND
60,ACTB,C0272183,Qualitative abnormality of granulocyte,GENOMICS_ENGLAND
60,ACTB,C1846331,Juvenile-onset dystonia,GENOMICS_ENGLAND
60,ACTB,C1853623,Fryns-Aftimos Syndrome,GENOMICS_ENGLAND
60,ACTB,C1855722,"Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation",GENOMICS_ENGLAND
70,ACTC1,C0007194,Hypertrophic Cardiomyopathy,GENOMICS_ENGLAND
70,ACTC1,C2677506,"Cardiomyopathy, Familial Hypertrophic, 11",GENOMICS_ENGLAND
70,ACTC1,C2748552,Atrial Septal Defect 5,GENOMICS_ENGLAND
70,ACTC1,C3150681,"CARDIOMYOPATHY, DILATED, 1R",GENOMICS_ENGLAND
70,ACTC1,C3150682,LEFT VENTRICULAR NONCOMPACTION 4,GENOMICS_ENGLAND
