term_id,term_name,genes_associated_in_db,source
CXXX,No diseases associated,15511,GENOMICS_ENGLAND
C0557874,Global developmental delay,133,GENOMICS_ENGLAND
C0152427,Polydactyly,112,GENOMICS_ENGLAND
C4277690,Ciliopathies,109,GENOMICS_ENGLAND
C0035334,Retinitis Pigmentosa,78,GENOMICS_ENGLAND
C4707243,Familial thoracic aortic aneurysm and aortic dissection,53,GENOMICS_ENGLAND
C0008925,Cleft Palate,44,GENOMICS_ENGLAND
C0494261,Combined immunodeficiency,41,GENOMICS_ENGLAND
C0152423,Congenital small ears,40,GENOMICS_ENGLAND
C0598589,Inherited neuropathies,40,GENOMICS_ENGLAND
C0025958,Microcephaly,38,GENOMICS_ENGLAND
C3860213,Autoinflammatory disorder,35,GENOMICS_ENGLAND
C0023467,"Leukemia, Myelocytic, Acute",33,GENOMICS_ENGLAND
C0543888,Epileptic encephalopathy,30,GENOMICS_ENGLAND
C1260899,"Anemia, Diamond-Blackfan",29,GENOMICS_ENGLAND
C0028754,Obesity,26,GENOMICS_ENGLAND
C0014544,Epilepsy,25,GENOMICS_ENGLAND
C0158981,Neonatal diabetes mellitus,25,GENOMICS_ENGLAND
C0431399,Familial aplasia of the vermis,25,GENOMICS_ENGLAND
C0023465,Acute monocytic leukemia,24,GENOMICS_ENGLAND
C0265219,Miller Dieker syndrome,24,GENOMICS_ENGLAND
C0015625,Fanconi Anemia,22,GENOMICS_ENGLAND
C0020443,Hypercholesterolemia,22,GENOMICS_ENGLAND
C0431350,Primary microcephaly,22,GENOMICS_ENGLAND
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,22,GENOMICS_ENGLAND
C0023264,Leigh Disease,21,GENOMICS_ENGLAND
C4551720,Primary Ciliary Dyskinesia,21,GENOMICS_ENGLAND
C0004352,Autistic Disorder,20,GENOMICS_ENGLAND
C0030312,Pancytopenia,20,GENOMICS_ENGLAND
C0265202,Seckel syndrome,20,GENOMICS_ENGLAND
C0003886,Arthrogryposis,19,GENOMICS_ENGLAND
C0006267,Bronchiectasis,19,GENOMICS_ENGLAND
C0020305,Hydrops Fetalis,19,GENOMICS_ENGLAND
C0009402,Colorectal Carcinoma,18,GENOMICS_ENGLAND
C0085110,Severe Combined Immunodeficiency,18,GENOMICS_ENGLAND
C3714506,Meckel syndrome type 1,18,GENOMICS_ENGLAND
C0013336,Dwarfism,17,GENOMICS_ENGLAND
C0751882,"Myasthenic Syndromes, Congenital",17,GENOMICS_ENGLAND
C0026654,Moyamoya Disease,16,GENOMICS_ENGLAND
C0339527,Leber Congenital Amaurosis,16,GENOMICS_ENGLAND
C1292778,Chronic myeloproliferative disorder,16,GENOMICS_ENGLAND
C2936862,Bardet-Biedl syndrome 1 (disorder),16,GENOMICS_ENGLAND
