entrez,symbol,term_id,term_name,source
18,ABAT,C0342708,Gamma aminobutyric acid transaminase deficiency,ORPHANET
19,ABCA1,C0039292,Tangier Disease,ORPHANET
19,ABCA1,C1704429,"Hypoalphalipoproteinemia, Familial",ORPHANET
21,ABCA3,C0020192,Hyaline Membrane Disease,ORPHANET
21,ABCA3,C0035220,"Respiratory Distress Syndrome, Newborn",ORPHANET
21,ABCA3,C0085786,Hamman-Rich syndrome,ORPHANET
21,ABCA3,C0852283,Respiratory Distress Syndrome,ORPHANET
21,ABCA3,C1800706,Idiopathic Pulmonary Fibrosis,ORPHANET
21,ABCA3,C1970456,"Surfactant Metabolism Dysfunction, Pulmonary, 3",ORPHANET
24,ABCA4,C1855465,STARGARDT DISEASE 1 (disorder),ORPHANET
24,ABCA4,C3489532,Cone-Rod Dystrophy 2,ORPHANET
25,ABL1,C0006413,Burkitt Lymphoma,ORPHANET
25,ABL1,C0023473,"Myeloid Leukemia, Chronic",ORPHANET
25,ABL1,C1292769,Precursor B-cell lymphoblastic leukemia,ORPHANET
25,ABL1,C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,ORPHANET
33,ACADL,C0220711,Long chain acyl-CoA dehydrogenase deficiency,ORPHANET
36,ACADSB,C1864912,2-Methylbutyryl-CoA Dehydrogenase Deficiency,ORPHANET
38,ACAT1,C1536500,Deficiency of acetyl-CoA acetyltransferase,ORPHANET
50,ACO2,C3281192,INFANTILE CEREBELLAR-RETINAL DEGENERATION,ORPHANET
51,ACOX1,C1849678,Peroxisomal ACYL-COA oxidase deficiency,ORPHANET
54,ACP5,C0432222,Spondyloenchondrodysplasia,ORPHANET
58,ACTA1,C0270969,Zebra body myopathy,ORPHANET
58,ACTA1,C0410180,Eichsfeld type congenital muscular dystrophy,ORPHANET
58,ACTA1,C0546125,"Nemaline Myopathy, Childhood Onset",ORPHANET
58,ACTA1,C3711389,Actin-Accumulation Myopathy,ORPHANET
58,ACTA1,C4225181,"MYOPATHY, SCAPULOHUMEROPERONEAL",ORPHANET
59,ACTA2,C0026654,Moyamoya Disease,ORPHANET
59,ACTA2,C2931384,Moyamoya disease 1,ORPHANET
59,ACTA2,C3151201,MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME,ORPHANET
60,ACTB,C0263579,Pigmented hairy epidermal nevus,ORPHANET
60,ACTB,C1846331,Juvenile-onset dystonia,ORPHANET
60,ACTB,C1855722,"Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation",ORPHANET
60,ACTB,C1858042,Becker Nevus Syndrome,ORPHANET
70,ACTC1,C0340427,Familial dilated cardiomyopathy,ORPHANET
70,ACTC1,C0344724,Ostium secundum atrial septal defect,ORPHANET
70,ACTC1,C1960469,Left ventricular noncompaction,ORPHANET
71,ACTG1,C0266551,Congenital coloboma of iris,ORPHANET
