term_id,term_name,genes_associated_in_db,source
CXXX,No diseases associated,16043,ORPHANET
C0340427,Familial dilated cardiomyopathy,44,ORPHANET
C0002736,Amyotrophic Lateral Sclerosis,37,ORPHANET
C0022521,Kartagener Syndrome,33,ORPHANET
C4317124,Polynesian Bronchiectasis,33,ORPHANET
C4551720,Primary Ciliary Dyskinesia,33,ORPHANET
C4551906,"Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus",33,ORPHANET
C2931498,"Mental Retardation, X-Linked 1",32,ORPHANET
C0035334,Retinitis Pigmentosa,31,ORPHANET
C1868672,"NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE",29,ORPHANET
C3489532,Cone-Rod Dystrophy 2,29,ORPHANET
C0024141,"Lupus Erythematosus, Systemic",28,ORPHANET
C0238463,Papillary thyroid carcinoma,28,ORPHANET
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,28,ORPHANET
C0162809,Kallmann Syndrome,26,ORPHANET
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,24,ORPHANET
C0006413,Burkitt Lymphoma,22,ORPHANET
C1843687,"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)",22,ORPHANET
C3711387,Autosomal Recessive Primary Microcephaly,22,ORPHANET
C0339527,Leber Congenital Amaurosis,21,ORPHANET
C1292769,Precursor B-cell lymphoblastic leukemia,21,ORPHANET
C0431399,Familial aplasia of the vermis,20,ORPHANET
C4551568,Joubert syndrome 1,20,ORPHANET
C0392557,Nuclear cataract,18,ORPHANET
C1112705,Nuclear non-senile cataract,18,ORPHANET
C0035828,Romano-Ward Syndrome,16,ORPHANET
C0266539,Congenital total cataract,16,ORPHANET
C0028326,Noonan Syndrome,15,ORPHANET
C0037769,West Syndrome,15,ORPHANET
C0265215,Meckel-Gruber syndrome,15,ORPHANET
C0431362,Lobar Holoprosencephaly,15,ORPHANET
C0751617,Semilobar Holoprosencephaly,15,ORPHANET
C0004943,Behcet Syndrome,14,ORPHANET
C0085786,Hamman-Rich syndrome,14,ORPHANET
C0265221,Walker-Warburg congenital muscular dystrophy,14,ORPHANET
C0393706,Early infantile epileptic encephalopathy with suppression bursts,14,ORPHANET
C0431363,Alobar Holoprosencephaly,14,ORPHANET
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,14,ORPHANET
C1800706,Idiopathic Pulmonary Fibrosis,14,ORPHANET
C1960469,Left ventricular noncompaction,14,ORPHANET
C0023487,Acute Promyelocytic Leukemia,13,ORPHANET
C0162671,MELAS Syndrome,13,ORPHANET
C0282525,"Adrenoleukodystrophy, Neonatal",13,ORPHANET
C0282527,Infantile Refsum Disease (disorder),13,ORPHANET
C0339535,"Night blindness, congenital stationary",13,ORPHANET
C0342276,Maturity onset diabetes mellitus in young,13,ORPHANET
C1142166,Brugada Syndrome (disorder),13,ORPHANET
C0020608,Hypodontia,12,ORPHANET
C0206726,gliosarcoma,12,ORPHANET
C0334588,Giant Cell Glioblastoma,12,ORPHANET
C1260899,"Anemia, Diamond-Blackfan",12,ORPHANET
C2931456,"Prostate cancer, familial",12,ORPHANET
C2931850,Aase Smith syndrome 2,12,ORPHANET
C4082304,Oligodontia,12,ORPHANET
C0009447,Common Variable Immunodeficiency,11,ORPHANET
