entrez,symbol,term_id,term_name,source
2,A2M,C0011570,Mental Depression,PSYGENET
2,A2M,C0011581,Depressive disorder,PSYGENET
9,NAT1,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
15,AANAT,C0005587,"Depression, Bipolar",PSYGENET
15,AANAT,C0011570,Mental Depression,PSYGENET
15,AANAT,C0011581,Depressive disorder,PSYGENET
19,ABCA1,C0036341,Schizophrenia,PSYGENET
28,ABO,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
28,ABO,C0085762,Alcohol abuse,PSYGENET
35,ACADS,C0005586,Bipolar Disorder,PSYGENET
43,ACHE,C0036341,Schizophrenia,PSYGENET
52,ACP1,C0036341,Schizophrenia,PSYGENET
52,ACP1,C0041696,Unipolar Depression,PSYGENET
52,ACP1,C1269683,Major Depressive Disorder,PSYGENET
60,ACTB,C0005586,Bipolar Disorder,PSYGENET
60,ACTB,C0036341,Schizophrenia,PSYGENET
104,ADARB1,C0005586,Bipolar Disorder,PSYGENET
104,ADARB1,C0036341,Schizophrenia,PSYGENET
108,ADCY2,C0005586,Bipolar Disorder,PSYGENET
109,ADCY3,C0005586,Bipolar Disorder,PSYGENET
111,ADCY5,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
111,ADCY5,C0011570,Mental Depression,PSYGENET
111,ADCY5,C0011581,Depressive disorder,PSYGENET
111,ADCY5,C0041696,Unipolar Depression,PSYGENET
111,ADCY5,C1269683,Major Depressive Disorder,PSYGENET
113,ADCY7,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
113,ADCY7,C0011570,Mental Depression,PSYGENET
113,ADCY7,C0011581,Depressive disorder,PSYGENET
113,ADCY7,C0041696,Unipolar Depression,PSYGENET
113,ADCY7,C1269683,Major Depressive Disorder,PSYGENET
114,ADCY8,C0005586,Bipolar Disorder,PSYGENET
114,ADCY8,C0011570,Mental Depression,PSYGENET
114,ADCY8,C0011581,Depressive disorder,PSYGENET
116,ADCYAP1,C0005586,Bipolar Disorder,PSYGENET
116,ADCYAP1,C0011570,Mental Depression,PSYGENET
116,ADCYAP1,C0011581,Depressive disorder,PSYGENET
116,ADCYAP1,C0036341,Schizophrenia,PSYGENET
117,ADCYAP1R1,C0036341,Schizophrenia,PSYGENET
124,ADH1A,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
125,ADH1B,C0001969,Alcoholic Intoxication,PSYGENET
125,ADH1B,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
125,ADH1B,C0085762,Alcohol abuse,PSYGENET
125,ADH1B,C0349464,Wernicke-Korsakoff Syndrome,PSYGENET
126,ADH1C,C0001969,Alcoholic Intoxication,PSYGENET
126,ADH1C,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
126,ADH1C,C0085762,Alcohol abuse,PSYGENET
127,ADH4,C0001956,Alcohol Use Disorder,PSYGENET
127,ADH4,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
127,ADH4,C0085762,Alcohol abuse,PSYGENET
128,ADH5,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
130,ADH6,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
131,ADH7,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
132,ADK,C0036341,Schizophrenia,PSYGENET
133,ADM,C0005586,Bipolar Disorder,PSYGENET
133,ADM,C0036341,Schizophrenia,PSYGENET
134,ADORA1,C0036341,Schizophrenia,PSYGENET
135,ADORA2A,C0036341,Schizophrenia,PSYGENET
148,ADRA1A,C0005586,Bipolar Disorder,PSYGENET
148,ADRA1A,C0006870,Cannabis Dependence,PSYGENET
148,ADRA1A,C0009171,Cocaine Abuse,PSYGENET
148,ADRA1A,C0036341,Schizophrenia,PSYGENET
148,ADRA1A,C0041696,Unipolar Depression,PSYGENET
148,ADRA1A,C0600427,Cocaine Dependence,PSYGENET
148,ADRA1A,C1269683,Major Depressive Disorder,PSYGENET
148,ADRA1A,C3496069,cocaine use,PSYGENET
150,ADRA2A,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
150,ADRA2A,C0011570,Mental Depression,PSYGENET
150,ADRA2A,C0011581,Depressive disorder,PSYGENET
150,ADRA2A,C0036341,Schizophrenia,PSYGENET
152,ADRA2C,C0005586,Bipolar Disorder,PSYGENET
153,ADRB1,C0011570,Mental Depression,PSYGENET
153,ADRB1,C0011581,Depressive disorder,PSYGENET
154,ADRB2,C0005586,Bipolar Disorder,PSYGENET
157,GRK3,C0005586,Bipolar Disorder,PSYGENET
159,ADSS2,C0036341,Schizophrenia,PSYGENET
175,AGA,C0036341,Schizophrenia,PSYGENET
177,AGER,C0036341,Schizophrenia,PSYGENET
182,JAG1,C0036341,Schizophrenia,PSYGENET
183,AGT,C0005586,Bipolar Disorder,PSYGENET
183,AGT,C0011570,Mental Depression,PSYGENET
183,AGT,C0011581,Depressive disorder,PSYGENET
207,AKT1,C0005586,Bipolar Disorder,PSYGENET
207,AKT1,C0011570,Mental Depression,PSYGENET
207,AKT1,C0011581,Depressive disorder,PSYGENET
208,AKT2,C0005586,Bipolar Disorder,PSYGENET
216,ALDH1A1,C0001969,Alcoholic Intoxication,PSYGENET
216,ALDH1A1,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
216,ALDH1A1,C0036341,Schizophrenia,PSYGENET
216,ALDH1A1,C0085762,Alcohol abuse,PSYGENET
217,ALDH2,C0001969,Alcoholic Intoxication,PSYGENET
217,ALDH2,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
217,ALDH2,C0005586,Bipolar Disorder,PSYGENET
217,ALDH2,C0085762,Alcohol abuse,PSYGENET
217,ALDH2,C0349464,Wernicke-Korsakoff Syndrome,PSYGENET
218,ALDH3A1,C0036341,Schizophrenia,PSYGENET
221,ALDH3B1,C0036341,Schizophrenia,PSYGENET
221,ALDH3B1,C0036349,Paranoid Schizophrenia,PSYGENET
222,ALDH3B2,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
238,ALK,C0001973,"Alcoholic Intoxication, Chronic",PSYGENET
238,ALK,C0011570,Mental Depression,PSYGENET
238,ALK,C0011581,Depressive disorder,PSYGENET
238,ALK,C0036341,Schizophrenia,PSYGENET
239,ALOX12,C0005586,Bipolar Disorder,PSYGENET
239,ALOX12,C0036341,Schizophrenia,PSYGENET
