entrez,symbol,term_id,term_name,source
16,AARS1,C2750090,"Charcot-Marie-Tooth Disease, Axonal, Type 2n",UNIPROT
16,AARS1,C4225361,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29",UNIPROT
18,ABAT,C0342708,Gamma aminobutyric acid transaminase deficiency,UNIPROT
19,ABCA1,C0009402,Colorectal Carcinoma,UNIPROT
19,ABCA1,C0039292,Tangier Disease,UNIPROT
19,ABCA1,C1704429,"Hypoalphalipoproteinemia, Familial",UNIPROT
21,ABCA3,C0006142,Malignant neoplasm of breast,UNIPROT
21,ABCA3,C1970456,"Surfactant Metabolism Dysfunction, Pulmonary, 3",UNIPROT
22,ABCB7,C1845028,"ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA",UNIPROT
24,ABCA4,C0006142,Malignant neoplasm of breast,UNIPROT
24,ABCA4,C1855465,STARGARDT DISEASE 1 (disorder),UNIPROT
24,ABCA4,C1858806,CONE-ROD DYSTROPHY 3 (disorder),UNIPROT
24,ABCA4,C3495438,"Macular Degeneration, Age-Related, 2",UNIPROT
25,ABL1,C0025202,melanoma,UNIPROT
25,ABL1,C0345958,Large cell carcinoma of lung,UNIPROT
25,ABL1,C4539857,CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME,UNIPROT
31,ACACA,C0009402,Colorectal Carcinoma,UNIPROT
32,ACACB,C1335302,Pancreatic Ductal Adenocarcinoma,UNIPROT
34,ACADM,C0006142,Malignant neoplasm of breast,UNIPROT
34,ACADM,C0220710,Medium-chain acyl-coenzyme A dehydrogenase deficiency,UNIPROT
35,ACADS,C0342783,Deficiency of butyryl-CoA dehydrogenase,UNIPROT
36,ACADSB,C1864912,2-Methylbutyryl-CoA Dehydrogenase Deficiency,UNIPROT
37,ACADVL,C3887523,Very long chain acyl-CoA dehydrogenase deficiency,UNIPROT
38,ACAT1,C1536500,Deficiency of acetyl-CoA acetyltransferase,UNIPROT
50,ACO2,C0006142,Malignant neoplasm of breast,UNIPROT
50,ACO2,C3281192,INFANTILE CEREBELLAR-RETINAL DEGENERATION,UNIPROT
50,ACO2,C4225384,OPTIC ATROPHY 9,UNIPROT
51,ACOX1,C1849678,Peroxisomal ACYL-COA oxidase deficiency,UNIPROT
54,ACP5,C1842763,SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION,UNIPROT
58,ACTA1,C0546264,Congenital Fiber Type Disproportion,UNIPROT
58,ACTA1,C3711389,Actin-Accumulation Myopathy,UNIPROT
