term_id,term_name,genes_associated_in_db,source
CXXX,No diseases associated,15450,UNIPROT
C0006142,Malignant neoplasm of breast,579,UNIPROT
C0009402,Colorectal Carcinoma,460,UNIPROT
C0152013,Adenocarcinoma of lung (disorder),54,UNIPROT
C0278883,Metastatic melanoma,54,UNIPROT
C1319315,Adenocarcinoma of large intestine,54,UNIPROT
C0278701,Gastric Adenocarcinoma,41,UNIPROT
C0345958,Large cell carcinoma of lung,32,UNIPROT
C1335167,Ovarian Mucinous Adenocarcinoma,31,UNIPROT
C1621958,Glioblastoma Multiforme,31,UNIPROT
C0149782,Squamous cell carcinoma of lung,26,UNIPROT
C1335177,Ovarian Serous Adenocarcinoma,23,UNIPROT
C3165106,Infiltrating duct carcinoma of female breast,21,UNIPROT
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,19,UNIPROT
C1140680,Malignant neoplasm of ovary,15,UNIPROT
C0025202,melanoma,13,UNIPROT
C0149925,Small cell carcinoma of lung,11,UNIPROT
C1335302,Pancreatic Ductal Adenocarcinoma,11,UNIPROT
C2239176,Liver carcinoma,11,UNIPROT
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",10,UNIPROT
C0023467,"Leukemia, Myelocytic, Acute",10,UNIPROT
C0684249,Carcinoma of lung,10,UNIPROT
C0023264,Leigh Disease,9,UNIPROT
C0699791,Stomach Carcinoma,9,UNIPROT
C0917796,"Optic Atrophy, Hereditary, Leber",9,UNIPROT
C0007102,Malignant tumor of colon,8,UNIPROT
C0031511,Pheochromocytoma,7,UNIPROT
C0242379,Malignant neoplasm of lung,7,UNIPROT
C0268237,Cytochrome-c Oxidase Deficiency,7,UNIPROT
C0376358,Malignant neoplasm of prostate,7,UNIPROT
C1168401,Squamous cell carcinoma of the head and neck,7,UNIPROT
C1321872,Stage IV Skin Melanoma,7,UNIPROT
C3891448,"NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO",7,UNIPROT
C0039685,Tetralogy of Fallot,6,UNIPROT
C1857586,CONOTRUNCAL HEART MALFORMATIONS (disorder),6,UNIPROT
C0024623,Malignant neoplasm of stomach,5,UNIPROT
C0346163,Endometrioid carcinoma ovary,5,UNIPROT
C1858991,Childhood Ataxia with Central Nervous System Hypomyelinization,5,UNIPROT
C0011195,Dejerine-Sottas Disease (disorder),4,UNIPROT
C0017638,Glioma,4,UNIPROT
C0023418,leukemia,4,UNIPROT
C0023480,"Leukemia, Myelomonocytic, Chronic",4,UNIPROT
C0024305,"Lymphoma, Non-Hodgkin",4,UNIPROT
C0162671,MELAS Syndrome,4,UNIPROT
C0268389,"Amyloidosis, familial visceral",4,UNIPROT
C0349639,Juvenile Myelomonocytic Leukemia,4,UNIPROT
C0699885,Carcinoma of bladder,4,UNIPROT
C1275808,Congenital central hypoventilation,4,UNIPROT
C1336708,Testicular Germ Cell Tumor,4,UNIPROT
C1833104,"DIABETES MELLITUS, PERMANENT NEONATAL",4,UNIPROT
C4225426,"THYROID CANCER, NONMEDULLARY, 2",4,UNIPROT
C0002395,Alzheimer's Disease,3,UNIPROT
C0005129,Bernard-Soulier Syndrome,3,UNIPROT
C0005684,Malignant neoplasm of urinary bladder,3,UNIPROT
C0007137,Squamous cell carcinoma,3,UNIPROT
C0024776,Maple Syrup Urine Disease,3,UNIPROT
C0027708,Nephroblastoma,3,UNIPROT
C0028754,Obesity,3,UNIPROT
C0033847,Pseudoxanthoma Elasticum,3,UNIPROT
C0038644,Sudden infant death syndrome,3,UNIPROT
C0152018,Esophageal carcinoma,3,UNIPROT
C0235974,Pancreatic carcinoma,3,UNIPROT
C0238339,Hereditary pancreatitis,3,UNIPROT
C0265269,Lacrimoauriculodentodigital syndrome,3,UNIPROT
C0266313,Allanson Pantzar McLeod syndrome,3,UNIPROT
C0268374,Adult junctional epidermolysis bullosa (disorder),3,UNIPROT
C0268596,Multiple Acyl Coenzyme A Dehydrogenase Deficiency,3,UNIPROT
C0272350,"Dysfibrinogenemia, Congenital",3,UNIPROT
C0279680,Transitional cell carcinoma of bladder,3,UNIPROT
C0346647,Malignant neoplasm of pancreas,3,UNIPROT
C0410179,Ullrich congenital muscular dystrophy 1,3,UNIPROT
C0546264,Congenital Fiber Type Disproportion,3,UNIPROT
C0546966,Monilethrix,3,UNIPROT
C0549473,Thyroid carcinoma,3,UNIPROT
C1834674,BETHLEM MYOPATHY 1,3,UNIPROT
C1846385,FOCAL CORTICAL DYSPLASIA OF TAYLOR,3,UNIPROT
C1854678,"MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE",3,UNIPROT
C1855008,Mitochondrial Complex II Deficiency,3,UNIPROT
C1857662,COACH syndrome,3,UNIPROT
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,3,UNIPROT
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,3,UNIPROT
C2584774,Congenital hypofibrinogenemia,3,UNIPROT
C2700553,Omenn Syndrome,3,UNIPROT
C2931418,Bare lymphocyte syndrome 2,3,UNIPROT
C3160718,"PARKINSON DISEASE, LATE-ONSET",3,UNIPROT
C3495498,"Cardiomyopathy, Familial Hypertrophic, 1 (disorder)",3,UNIPROT
C4048328,cervical cancer,3,UNIPROT
C0004779,Basal Cell Nevus Syndrome,2,UNIPROT
C0005695,Bladder Neoplasm,2,UNIPROT
C0006413,Burkitt Lymphoma,2,UNIPROT
C0007131,Non-Small Cell Lung Carcinoma,2,UNIPROT
C0010417,Cryptorchidism,2,UNIPROT
C0010691,Cystinuria,2,UNIPROT
C0013903,Ellis-Van Creveld Syndrome,2,UNIPROT
C0022603,Seborrheic keratosis,2,UNIPROT
C0023931,Lobstein Disease,2,UNIPROT
C0024141,"Lupus Erythematosus, Systemic",2,UNIPROT
C0025149,Medulloblastoma,2,UNIPROT
C0029463,Osteosarcoma,2,UNIPROT
C0029925,Ovarian Carcinoma,2,UNIPROT
C0040015,Thrombasthenia,2,UNIPROT
C0079153,"Hyperkeratosis, Epidermolytic",2,UNIPROT
C0079295,Epidermolysis Bullosa Herpetiformis Dowling-Meara,2,UNIPROT
C0079299,Epidermolysis Bullosa Simplex Kobner,2,UNIPROT
C0079744,Diffuse Large B-Cell Lymphoma,2,UNIPROT
C0080333,Weber-Cockayne Syndrome,2,UNIPROT
C0220658,Pfeiffer Syndrome,2,UNIPROT
C0236642,Pick Disease of the Brain,2,UNIPROT
C0241908,"Hematuria, Benign Familial",2,UNIPROT
C0265325,Turcot syndrome (disorder),2,UNIPROT
C0266484,Schizencephaly,2,UNIPROT
C0267663,"Congenital secretory diarrhea, sodium type (disorder)",2,UNIPROT
C0268193,NADH cytochrome B5 reductase deficiency,2,UNIPROT
C0268358,"Osteogenesis imperfecta, dominant perinatal lethal",2,UNIPROT
C0268362,Osteogenesis imperfecta type III (disorder),2,UNIPROT
C0268363,Osteogenesis imperfecta type IV (disorder),2,UNIPROT
C0268579,Propionic acidemia,2,UNIPROT
C0311338,Fundus Albipunctatus,2,UNIPROT
