entrez,symbol,term_name,term_id,source
196,AHR,Association with Expansion (CD34 Staining),CRB:0000001,CRB
10439,OLFM1,Association with Expansion (CD34 Staining),CRB:0000001,CRB
57156,TMEM63C,Association with Expansion (CD34 Staining),CRB:0000001,CRB
7389,UROD,Association with Expansion (CD34 Staining),CRB:0000001,CRB
196,AHR,Positive hit with Expansion (CD34 Staining),CRB:0000002,CRB
10439,OLFM1,Negative hit with Expansion (CD34 Staining),CRB:0000003,CRB
57156,TMEM63C,Positive hit with Expansion (CD34 Staining),CRB:0000002,CRB
7389,UROD,Positive hit with Expansion (CD34 Staining),CRB:0000002,CRB
60496,AASDHPPT,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
83451,ABHD11,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
28976,ACAD9,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
54936,ADPRHL2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
158,ADSL,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
191,AHCY,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8574,AKR7A2,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79796,ALG9,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
338692,ANKRD13D,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
55139,ANKZF1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
1176,AP3S1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9870,AREL1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
468,ATF4,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9776,ATG13,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
22863,ATG14,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
64422,ATG3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9474,ATG5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
10533,ATG7,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
79065,ATG9A,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
478,ATP1A3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
51606,ATP6V1H,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
9334,B4GALT5,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
602,BCL3,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
8678,BECN1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
672,BRCA1,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
65980,BRD9,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
84529,C15orf41,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
150590,C2orf15,Association with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron,CRB:0000004,CRB
