entrez,symbol,term_id,term_name,source
33,ACADL,C0220711,Long chain acyl-CoA dehydrogenase deficiency,CLINGEN
34,ACADM,C0220710,Medium-chain acyl-coenzyme A dehydrogenase deficiency,CLINGEN
35,ACADS,C0342783,Deficiency of butyryl-CoA dehydrogenase,CLINGEN
36,ACADSB,C1864912,2-Methylbutyryl-CoA Dehydrogenase Deficiency,CLINGEN
37,ACADVL,C3887523,Very long chain acyl-CoA dehydrogenase deficiency,CLINGEN
38,ACAT1,C1536500,Deficiency of acetyl-CoA acetyltransferase,CLINGEN
58,ACTA1,C0007194,Hypertrophic Cardiomyopathy,CLINGEN
59,ACTA2,C4707243,Familial thoracic aortic aneurysm and aortic dissection,CLINGEN
70,ACTC1,C0007194,Hypertrophic Cardiomyopathy,CLINGEN
71,ACTG1,C3281235,BARAITSER-WINTER SYNDROME 2,CLINGEN
71,ACTG1,C3711374,Nonsyndromic Deafness,CLINGEN
94,ACVRL1,C1832529,HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION,CLINGEN
94,ACVRL1,C1838163,OSLER-RENDU-WEBER SYNDROME 2,CLINGEN
107,ADCY1,C1846647,"DEAFNESS, AUTOSOMAL RECESSIVE (disorder)",CLINGEN
186,AGTR2,C3501611,"Mental Retardation, X-Linked Nonsyndromic",CLINGEN
191,AHCY,C3151058,S-adenosylhomocysteine hydrolase deficiency,CLINGEN
215,ABCD1,C0162309,Adrenoleukodystrophy,CLINGEN
215,ABCD1,C1527231,Adrenomyeloneuropathy,CLINGEN
238,ALK,C2751681,"NEUROBLASTOMA, SUSCEPTIBILITY TO, 3",CLINGEN
275,AMT,C0751748,Nonketotic Hyperglycinemia,CLINGEN
287,ANK2,C1142166,Brugada Syndrome (disorder),CLINGEN
291,SLC25A4,C4321247,Mitochondrial DNA Depletion Syndrome 12,CLINGEN
338,APOB,C1704417,Hyperlipoproteinemia Type IIb,CLINGEN
338,APOB,C3888316,"Hypercholesterolemia, familial, due to ligand-defective apolipoprotein B",CLINGEN
362,AQP5,C1838359,"Diffuse palmoplantar keratoderma, Bothnian type",CLINGEN
435,ASL,C0268547,Argininosuccinic Aciduria,CLINGEN
440,ASNS,C3809971,ASPARAGINE SYNTHETASE DEFICIENCY,CLINGEN
445,ASS1,C0175683,Citrullinemia,CLINGEN
445,ASS1,C0751751,"Argininosuccinic Acid Synthetase Deficiency, Complete",CLINGEN
445,ASS1,C4721769,Citrullinemia Type 1,CLINGEN
472,ATM,C0346153,"Breast Cancer, Familial",CLINGEN
472,ATM,C1112155,Hereditary non-polyposis colorectal cancer syndrome,CLINGEN
472,ATM,C1333990,Hereditary Nonpolyposis Colorectal Cancer,CLINGEN
472,ATM,C1333991,Hereditary Non-Polyposis Colon Cancer Type 2,CLINGEN
472,ATM,C2936783,"Colorectal cancer, hereditary nonpolyposis, type 1",CLINGEN
501,ALDH7A1,C1849508,"EPILEPSY, PYRIDOXINE-DEPENDENT",CLINGEN
