term_id,term_name,genes_associated_in_db
CXXX,No diseases associated,10371
C0006142,Malignant neoplasm of breast,1084
C0036341,Schizophrenia,1026
C0023893,"Liver Cirrhosis, Experimental",774
C0009402,Colorectal Carcinoma,702
C0376358,Malignant neoplasm of prostate,622
C0678222,Breast Carcinoma,539
C2239176,Liver carcinoma,535
C1257931,"Mammary Neoplasms, Human",525
C4704874,"Mammary Carcinoma, Human",525
C0005586,Bipolar Disorder,518
C0019193,"Hepatitis, Toxic",404
C1262760,"Hepatitis, Drug-Induced",404
C3658290,Drug-Induced Acute Liver Injury,404
C4277682,Chemical and Drug Induced Liver Injury,404
C4279912,Chemically-Induced Liver Toxicity,404
C0024623,Malignant neoplasm of stomach,301
C0011581,Depressive disorder,294
C1708349,Hereditary Diffuse Gastric Cancer,293
C0001973,"Alcoholic Intoxication, Chronic",286
C0041696,Unipolar Depression,274
C0242379,Malignant neoplasm of lung,266
C1269683,Major Depressive Disorder,265
C0004352,Autistic Disorder,261
C0011570,Mental Depression,260
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",260
C0025202,melanoma,249
C0028754,Obesity,243
C0152013,Adenocarcinoma of lung (disorder),207
C0151744,Myocardial Ischemia,178
C0003873,Rheumatoid Arthritis,176
C0023467,"Leukemia, Myelocytic, Acute",175
C0014175,Endometriosis,165
C0205696,Anaplastic carcinoma,163
C0205697,"Carcinoma, Spindle-Cell",163
C0205698,Undifferentiated carcinoma,163
C0004238,Atrial Fibrillation,161
C0007102,Malignant tumor of colon,161
C0269102,Endometrioma,161
C0007131,Non-Small Cell Lung Carcinoma,156
C0235480,Paroxysmal atrial fibrillation,156
C0279702,Conventional (Clear Cell) Renal Cell Carcinoma,148
C0345904,Malignant neoplasm of liver,147
C0032460,Polycystic Ovary Syndrome,146
C0005684,Malignant neoplasm of urinary bladder,144
C0600427,Cocaine Dependence,144
C1136382,Sclerocystic Ovaries,144
C0005695,Bladder Neoplasm,143
C1257925,"Mammary Carcinoma, Animal",142
C0020796,Profound Mental Retardation,139
C0917816,Mental deficiency,139
C1140680,Malignant neoplasm of ovary,138
C0087031,Juvenile-Onset Still Disease,135
C0919267,ovarian neoplasm,134
C0557874,Global developmental delay,133
C0018802,Congestive heart failure,132
C0007134,Renal Cell Carcinoma,131
C3495559,Juvenile arthritis,131
C3714758,Juvenile psoriatic arthritis,131
C4552091,"Polyarthritis, Juvenile, Rheumatoid Factor Negative",131
C4704862,"Polyarthritis, Juvenile, Rheumatoid Factor Positive",131
C0009171,Cocaine Abuse,128
C1266042,Chromophobe Renal Cell Carcinoma,128
C1266043,Sarcomatoid Renal Cell Carcinoma,128
C1266044,Collecting Duct Carcinoma of the Kidney,128
C1306837,Papillary Renal Cell Carcinoma,128
C0007137,Squamous cell carcinoma,125
C0018801,Heart failure,125
C0026998,"Acute Myeloid Leukemia, M1",125
C1879321,Acute Myeloid Leukemia (AML-M2),125
C0002395,Alzheimer's Disease,123
C0027051,Myocardial Infarction,118
C0740858,Substance abuse problem,118
C0152427,Polydactyly,117
C0205641,"Adenocarcinoma, Basal Cell",116
C0205642,"Adenocarcinoma, Oxyphilic",116
C0205643,"Carcinoma, Cribriform",116
C0205644,"Carcinoma, Granular Cell",116
C0205645,"Adenocarcinoma, Tubular",116
C0029231,"Organic Mental Disorders, Substance-Induced",115
C0038580,Substance Dependence,115
C0014544,Epilepsy,114
C0008370,Cholestasis,112
C1621958,Glioblastoma Multiforme,111
C0019207,"Hepatoma, Morris",110
C0019208,"Hepatoma, Novikoff",110
