term_id,term_name,genes_associated_in_db,source
HPO:XXX,No HPO phenotype,14882,HPO
HP:0000007,Autosomal recessive inheritance,2583,HPO
HP:0000006,Autosomal dominant inheritance,1748,HPO
HP:0001263,Global developmental delay,1448,HPO
HP:0001250,Seizure,1376,HPO
HP:0001249,Intellectual disability,1329,HPO
HP:0004322,Short stature,1064,HPO
HP:0000252,Microcephaly,939,HPO
HP:0001290,Generalized hypotonia,933,HPO
HP:0000639,Nystagmus,841,HPO
HP:0002650,Scoliosis,811,HPO
HP:0001508,Failure to thrive,773,HPO
HP:0001252,Muscular hypotonia,748,HPO
HP:0000486,Strabismus,696,HPO
HP:0000407,Sensorineural hearing impairment,661,HPO
HP:0001251,Ataxia,642,HPO
HP:0000028,Cryptorchidism,620,HPO
HP:0000316,Hypertelorism,598,HPO
HP:0000347,Micrognathia,585,HPO
HP:0000518,Cataract,584,HPO
HP:0000508,Ptosis,577,HPO
HP:0000365,Hearing impairment,562,HPO
HP:0001347,Hyperreflexia,554,HPO
HP:0000648,Optic atrophy,533,HPO
HP:0000750,Delayed speech and language development,519,HPO
HP:0001257,Spasticity,515,HPO
HP:0000218,High palate,498,HPO
HP:0002240,Hepatomegaly,493,HPO
HP:0000369,Low-set ears,488,HPO
HP:0001260,Dysarthria,459,HPO
HP:0001511,Intrauterine growth retardation,457,HPO
HP:0011968,Feeding difficulties,454,HPO
HP:0003593,Infantile onset,444,HPO
HP:0000431,Wide nasal bridge,437,HPO
HP:0000175,Cleft palate,435,HPO
HP:0005280,Depressed nasal bridge,430,HPO
HP:0002119,Ventriculomegaly,429,HPO
HP:0001270,Motor delay,421,HPO
HP:0000286,Epicanthus,420,HPO
HP:0000463,Anteverted nares,411,HPO
HP:0000494,Downslanted palpebral fissures,394,HPO
HP:0002079,Hypoplasia of the corpus callosum,385,HPO
HP:0000505,Visual impairment,344,HPO
HP:0001337,Tremor,343,HPO
HP:0001629,Ventricular septal defect,341,HPO
HP:0001744,Splenomegaly,338,HPO
HP:0001513,Obesity,337,HPO
HP:0002205,Recurrent respiratory infections,335,HPO
HP:0001324,Muscle weakness,333,HPO
HP:0010864,"Intellectual disability, severe",333,HPO
HP:0000256,Macrocephaly,328,HPO
HP:0001903,Anemia,326,HPO
HP:0012378,Fatigue,325,HPO
HP:0001332,Dystonia,323,HPO
HP:0002007,Frontal bossing,320,HPO
HP:0003828,Variable expressivity,320,HPO
HP:0001265,Hyporeflexia,319,HPO
HP:0001288,Gait disturbance,318,HPO
HP:0000238,Hydrocephalus,316,HPO
HP:0000716,Depressivity,313,HPO
HP:0002015,Dysphagia,311,HPO
HP:0002376,Developmental regression,310,HPO
HP:0001156,Brachydactyly,307,HPO
HP:0002059,Cerebral atrophy,302,HPO
HP:0000343,Long philtrum,301,HPO
HP:0008872,Feeding difficulties in infancy,298,HPO
HP:0000545,Myopia,296,HPO
HP:0002750,Delayed skeletal maturation,296,HPO
HP:0000470,Short neck,293,HPO
HP:0000405,Conductive hearing impairment,292,HPO
HP:0002093,Respiratory insufficiency,288,HPO
HP:0003202,Skeletal muscle atrophy,288,HPO
HP:0001272,Cerebellar atrophy,287,HPO
HP:0002020,Gastroesophageal reflux,286,HPO
HP:0001425,Heterogeneous,282,HPO
HP:0003577,Congenital onset,280,HPO
HP:0000739,Anxiety,276,HPO
HP:0000767,Pectus excavatum,276,HPO
HP:0001763,Pes planus,275,HPO
HP:0004209,Clinodactyly of the 5th finger,275,HPO
HP:0002019,Constipation,274,HPO
HP:0001631,Atrial septal defect,273,HPO
HP:0000501,Glaucoma,272,HPO
HP:0100543,Cognitive impairment,272,HPO
HP:0001256,"Intellectual disability, mild",271,HPO
HP:0003676,Progressive,270,HPO
HP:0000822,Hypertension,268,HPO
HP:0003196,Short nose,268,HPO
HP:0001762,Talipes equinovarus,266,HPO
HP:0000047,Hypospadias,258,HPO
HP:0002808,Kyphosis,255,HPO
HP:0000618,Blindness,250,HPO
HP:0001336,Myoclonus,250,HPO
HP:0001873,Thrombocytopenia,250,HPO
HP:0002120,Cerebral cortical atrophy,249,HPO
