term_id	term_name	genes_associated_in_db	source
MP:XXX	No phenotype	6972	MGD
MP:0002169	no abnormal phenotype detected	2106	MGD
MP:0001262	decreased body weight	1739	MGD
MP:0002083	premature death	1591	MGD
MP:0011100	preweaning lethality, complete penetrance	1519	MGD
MP:0001265	decreased body size	1180	MGD
MP:0001732	postnatal growth retardation	915	MGD
MP:0011086	postnatal lethality, incomplete penetrance	865	MGD
MP:0011098	embryonic lethality during organogenesis, complete penetrance	823	MGD
MP:0001925	male infertility	788	MGD
MP:0003984	embryonic growth retardation	737	MGD
MP:0011110	preweaning lethality, incomplete penetrance	733	MGD
MP:0011087	neonatal lethality, complete penetrance	728	MGD
MP:0011085	postnatal lethality, complete penetrance	705	MGD
MP:0001698	decreased embryo size	683	MGD
MP:0001402	hypoactivity	641	MGD
MP:0001399	hyperactivity	631	MGD
MP:0004924	abnormal behavior	569	MGD
MP:0001405	impaired coordination	532	MGD
MP:0010025	decreased total body fat amount	529	MGD
MP:0011092	embryonic lethality, complete penetrance	525	MGD
MP:0001406	abnormal gait	519	MGD
MP:0000691	enlarged spleen	504	MGD
MP:0000266	abnormal heart morphology	484	MGD
MP:0011101	prenatal lethality, incomplete penetrance	481	MGD
MP:0003961	decreased lean body mass	465	MGD
MP:0010053	decreased grip strength	460	MGD
MP:0001258	decreased body length	458	MGD
MP:0000274	enlarged heart	456	MGD
MP:0000063	decreased bone mineral density	447	MGD
MP:0001926	female infertility	424	MGD
MP:0011088	neonatal lethality, incomplete penetrance	424	MGD
MP:0011091	prenatal lethality, complete penetrance	423	MGD
MP:0005560	decreased circulating glucose level	417	MGD
MP:0010124	decreased bone mineral content	408	MGD
MP:0001147	small testis	405	MGD
MP:0005293	impaired glucose tolerance	397	MGD
MP:0000745	tremors	386	MGD
MP:0001935	decreased litter size	383	MGD
MP:0003795	abnormal bone structure	381	MGD
MP:0002727	decreased circulating insulin level	377	MGD
MP:0011099	lethality throughout fetal growth and development, complete penetrance	373	MGD
MP:0001914	hemorrhage	368	MGD
MP:0001263	weight loss	358	MGD
MP:0011967	increased or absent threshold for auditory brainstem response	358	MGD
MP:0000598	abnormal liver morphology	357	MGD
MP:0001393	ataxia	357	MGD
MP:0005017	decreased B cell number	353	MGD
MP:0005621	abnormal cell physiology	353	MGD
MP:0001577	anemia	352	MGD
MP:0002135	abnormal kidney morphology	351	MGD
MP:0011089	perinatal lethality, complete penetrance	345	MGD
MP:0011090	perinatal lethality, incomplete penetrance	345	MGD
MP:0001260	increased body weight	339	MGD
MP:0011108	embryonic lethality during organogenesis, incomplete penetrance	338	MGD
MP:0001730	embryonic growth arrest	336	MGD
MP:0000689	abnormal spleen morphology	329	MGD
MP:0013292	embryonic lethality prior to organogenesis	326	MGD
MP:0001785	edema	322	MGD
MP:0005292	improved glucose tolerance	311	MGD
MP:0001513	limb grasping	310	MGD
MP:0003960	increased lean body mass	307	MGD
MP:0004852	decreased testis weight	305	MGD
MP:0001923	reduced female fertility	304	MGD
MP:0001922	reduced male fertility	303	MGD
MP:0011096	embryonic lethality between implantation and somite formation, complete penetrance	298	MGD
MP:0005018	decreased T cell number	289	MGD
MP:0005179	decreased circulating cholesterol level	289	MGD
MP:0000914	exencephaly	288	MGD
MP:0001697	abnormal embryo size	288	MGD
MP:0000352	decreased cell proliferation	286	MGD
MP:0002968	increased circulating alkaline phosphatase level	280	MGD
MP:0001304	cataract	276	MGD
MP:0002082	postnatal lethality	276	MGD
MP:0002687	oligozoospermia	276	MGD
MP:0002644	decreased circulating triglyceride level	274	MGD
MP:0001575	cyanosis	271	MGD
MP:0011109	lethality throughout fetal growth and development, incomplete penetrance	271	MGD
MP:0002152	abnormal brain morphology	270	MGD
MP:0002412	increased susceptibility to bacterial infection	270	MGD
MP:0005178	increased circulating cholesterol level	270	MGD
MP:0001954	respiratory distress	269	MGD
MP:0008075	decreased CD4-positive, alpha beta T cell number	269	MGD
MP:0013293	embryonic lethality prior to tooth bud stage	268	MGD
MP:0008770	decreased survivor rate	267	MGD
MP:0000219	increased neutrophil cell number	265	MGD
MP:0008079	decreased CD8-positive, alpha-beta T cell number	265	MGD
MP:0001297	microphthalmia	261	MGD
MP:0001303	abnormal lens morphology	261	MGD
MP:0000788	abnormal cerebral cortex morphology	259	MGD
MP:0010024	increased total body fat amount	256	MGD
MP:0000160	kyphosis	255	MGD
MP:0002078	abnormal glucose homeostasis	255	MGD
MP:0001156	abnormal spermatogenesis	254	MGD
MP:0002151	abnormal neural tube morphology	254	MGD
MP:0002451	abnormal macrophage physiology	253	MGD
MP:0009763	increased sensitivity to induced morbidity/mortality	253	MGD
MP:0002092	abnormal eye morphology	252	MGD
MP:0003717	pallor	252	MGD
MP:0002875	decreased erythrocyte cell number	249	MGD
MP:0002079	increased circulating insulin level	248	MGD
MP:0000702	enlarged lymph nodes	246	MGD
MP:0002833	increased heart weight	246	MGD
MP:0005565	increased blood urea nitrogen level	238	MGD
MP:0000221	decreased leukocyte cell number	237	MGD
MP:0005559	increased circulating glucose level	237	MGD
MP:0000111	cleft palate	236	MGD
MP:0000218	increased leukocyte cell number	236	MGD
MP:0002628	hepatic steatosis	235	MGD
MP:0003179	thrombocytopenia	235	MGD
MP:0008489	slow postnatal weight gain	232	MGD
MP:0001861	lung inflammation	231	MGD
MP:0002764	short tibia	231	MGD
MP:0009142	decreased prepulse inhibition	231	MGD
MP:0001552	increased circulating triglyceride level	229	MGD
MP:0001672	abnormal embryo development	229	MGD
MP:0001823	thymus hypoplasia	226	MGD
MP:0005016	decreased lymphocyte cell number	226	MGD
MP:0000208	decreased hematocrit	225	MGD
MP:0001614	abnormal blood vessel morphology	225	MGD
MP:0006042	increased apoptosis	225	MGD
MP:0005584	abnormal enzyme/coenzyme activity	220	MGD
MP:0010402	ventricular septal defect	220	MGD
MP:0002874	decreased hemoglobin content	219	MGD
MP:0005331	insulin resistance	217	MGD
MP:0005095	decreased T cell proliferation	216	MGD
MP:0002020	increased tumor incidence	214	MGD
MP:0005159	azoospermia	214	MGD
MP:0000267	abnormal heart development	213	MGD
MP:0001325	abnormal retina morphology	211	MGD
MP:0001489	decreased startle reflex	211	MGD
MP:0002066	abnormal motor capabilities/coordination/movement	208	MGD
MP:0005140	decreased cardiac muscle contractility	208	MGD
MP:0001463	abnormal spatial learning	207	MGD
MP:0010123	increased bone mineral content	207	MGD
MP:0002891	increased insulin sensitivity	206	MGD
MP:0000929	open neural tube	205	MGD
MP:0001953	respiratory failure	204	MGD
MP:0005092	decreased double-positive T cell number	203	MGD
MP:0002757	decreased vertical activity	202	MGD
MP:0003009	abnormal cytokine secretion	202	MGD
MP:0001363	increased anxiety-related response	201	MGD
MP:0008874	decreased physiological sensitivity to xenobiotic	201	MGD
MP:0009937	abnormal neuron differentiation	197	MGD
MP:0000599	enlarged liver	196	MGD
MP:0002085	abnormal embryonic tissue morphology	196	MGD
MP:0000428	abnormal craniofacial morphology	195	MGD
MP:0001921	reduced fertility	195	MGD
MP:0001175	abnormal lung morphology	192	MGD
MP:0001544	abnormal cardiovascular system physiology	192	MGD
MP:0002118	abnormal lipid homeostasis	192	MGD
MP:0001860	liver inflammation	191	MGD
MP:0002060	abnormal skin morphology	191	MGD
MP:0002216	abnormal seminiferous tubule morphology	191	MGD
MP:0000774	decreased brain size	190	MGD
MP:0001891	hydrocephaly	190	MGD
MP:0002075	abnormal coat/hair pigmentation	190	MGD
MP:0002064	seizures	188	MGD
MP:0000438	abnormal cranium morphology	187	MGD
MP:0002675	asthenozoospermia	186	MGD
MP:0008567	decreased interferon-gamma secretion	186	MGD
MP:0000062	increased bone mineral density	185	MGD
MP:0000130	abnormal trabecular bone morphology	185	MGD
MP:0001146	abnormal testis morphology	185	MGD
MP:0001364	decreased anxiety-related response	185	MGD
MP:0002145	abnormal T cell differentiation	185	MGD
MP:0004952	increased spleen weight	185	MGD
MP:0000220	increased monocyte cell number	184	MGD
MP:0008074	increased CD4-positive, alpha beta T cell number	184	MGD
MP:0008078	increased CD8-positive, alpha-beta T cell number	184	MGD
MP:0004200	decreased fetal size	183	MGD
MP:0000607	abnormal hepatocyte morphology	182	MGD
MP:0009703	decreased birth body size	182	MGD
MP:0003203	increased neuron apoptosis	179	MGD
MP:0005014	increased B cell number	178	MGD
MP:0005508	abnormal skeleton morphology	178	MGD
MP:0000186	decreased circulating HDL cholesterol level	177	MGD
MP:0003077	abnormal cell cycle	177	MGD
MP:0005333	decreased heart rate	177	MGD
MP:0005404	abnormal axon morphology	177	MGD
MP:0000240	extramedullary hematopoiesis	176	MGD
MP:0005150	cachexia	176	MGD
MP:0000715	decreased thymocyte number	175	MGD
MP:0001473	reduced long term potentiation	175	MGD
MP:0003229	abnormal vitelline vasculature morphology	174	MGD
MP:0005325	abnormal renal glomerulus morphology	174	MGD
MP:0000278	abnormal myocardial fiber morphology	173	MGD
MP:0000222	decreased neutrophil cell number	172	MGD
MP:0002444	abnormal T cell physiology	172	MGD
MP:0001790	abnormal immune system physiology	171	MGD
MP:0002494	increased IgM level	171	MGD
MP:0010052	increased grip strength	171	MGD
MP:0002941	increased circulating alanine transaminase level	170	MGD
MP:0012431	increased lymphoma incidence	170	MGD
MP:0000284	double outlet right ventricle	169	MGD
MP:0004811	abnormal neuron physiology	169	MGD
MP:0003674	oxidative stress	168	MGD
MP:0001392	abnormal locomotor behavior	166	MGD
MP:0002981	increased liver weight	166	MGD
MP:0003141	cardiac fibrosis	165	MGD
MP:0011094	embryonic lethality before implantation, complete penetrance	165	MGD
MP:0001625	cardiac hypertrophy	164	MGD
MP:0000137	abnormal vertebrae morphology	163	MGD
MP:0000414	alopecia	163	MGD
MP:0002882	abnormal neuron morphology	162	MGD
MP:0006380	abnormal spermatid morphology	162	MGD
MP:0000609	abnormal liver physiology	160	MGD
MP:0000245	abnormal erythropoiesis	159	MGD
MP:0002459	abnormal B cell physiology	159	MGD
MP:0003354	astrocytosis	159	MGD
MP:0008515	thin retinal outer nuclear layer	159	MGD
MP:0000280	thin ventricular wall	158	MGD
MP:0002144	abnormal B cell differentiation	158	MGD
MP:0003633	abnormal nervous system physiology	158	MGD
MP:0000445	short snout	157	MGD
MP:0000783	abnormal forebrain morphology	157	MGD
MP:0002123	abnormal definitive hematopoiesis	157	MGD
MP:0009766	increased sensitivity to xenobiotic induced morbidity/mortality	157	MGD
MP:0000694	spleen hypoplasia	156	MGD
MP:0002792	abnormal retinal vasculature morphology	156	MGD
MP:0001293	anophthalmia	155	MGD
MP:0002896	abnormal bone mineralization	155	MGD
MP:0008495	decreased IgG1 level	155	MGD
MP:0000849	abnormal cerebellum morphology	154	MGD
MP:0002206	abnormal CNS synaptic transmission	154	MGD
MP:0002590	increased mean corpuscular volume	154	MGD
MP:0001525	impaired balance	153	MGD
MP:0002270	abnormal pulmonary alveolus morphology	153	MGD
MP:0011940	decreased food intake	153	MGD
MP:0000333	decreased bone marrow cell number	152	MGD
MP:0001523	impaired righting response	152	MGD
MP:0002059	abnormal seminal vesicle morphology	152	MGD
MP:0000692	small spleen	151	MGD
MP:0000706	small thymus	151	MGD
MP:0000150	abnormal rib morphology	150	MGD
MP:0002989	small kidney	150	MGD
MP:0001559	hyperglycemia	149	MGD
MP:0001711	abnormal placenta morphology	149	MGD
MP:0005348	increased T cell proliferation	149	MGD
MP:0005553	increased circulating creatinine level	149	MGD
MP:0008873	increased physiological sensitivity to xenobiotic	149	MGD
MP:0001326	retinal degeneration	148	MGD
MP:0005419	decreased circulating serum albumin level	148	MGD
MP:0005551	abnormal eye electrophysiology	148	MGD
MP:0005659	decreased susceptibility to diet-induced obesity	148	MGD
MP:0001516	abnormal motor coordination/balance	147	MGD
MP:0002106	abnormal muscle physiology	147	MGD
MP:0006254	thin cerebral cortex	147	MGD
MP:0000807	abnormal hippocampus morphology	146	MGD
MP:0009642	abnormal blood homeostasis	146	MGD
MP:0001800	abnormal humoral immune response	145	MGD
MP:0008261	arrest of male meiosis	145	MGD
MP:0001556	increased circulating HDL cholesterol level	144	MGD
MP:0001805	decreased IgG level	144	MGD
MP:0003059	decreased insulin secretion	144	MGD
MP:0004499	increased incidence of tumors by chemical induction	144	MGD
MP:0008560	increased tumor necrosis factor secretion	144	MGD
MP:0000358	abnormal cell morphology	142	MGD
MP:0001846	increased inflammatory response	142	MGD
MP:0005202	lethargy	142	MGD
MP:0008566	increased interferon-gamma secretion	142	MGD
MP:0005013	increased lymphocyte cell number	141	MGD
MP:0006036	abnormal mitochondrial physiology	141	MGD
MP:0000852	small cerebellum	140	MGD
MP:0001806	decreased IgM level	140	MGD
MP:0002272	abnormal nervous system electrophysiology	140	MGD
MP:0003109	short femur	140	MGD
MP:0008280	abnormal male germ cell apoptosis	140	MGD
MP:0001417	decreased exploration in new environment	139	MGD
MP:0001924	infertility	139	MGD
MP:0000913	abnormal brain development	138	MGD
